mu sigma omega mu0 sigma0 omega0
0.0 -425.0 -10.926902048444214 0.0 92.99999999999999 -7.835965358431999 
10.204081632653061 -425.0 -10.926902048444214 10.204081632653061 93.0 -7.835965358431995 
20.408163265306122 -425.0 -10.926902048444214 20.408163265306122 92.99999999999999 -7.835965358431999 
30.612244897959183 -425.0 -10.926902048444214 30.612244897959183 92.99999999999999 -7.835965358431999 
40.816326530612244 -425.0 -10.926902048444214 40.816326530612244 92.99999999999997 -7.835965358431995 
51.0204081632653 -425.0 -10.926902048444214 51.0204081632653 92.99999999999997 -7.835965358431995 
61.224489795918366 -425.0 -10.926902048444214 61.224489795918366 93.0 -7.835965358431995 
71.42857142857143 -425.0 -10.926902048444214 71.42857142857143 92.99999999999999 -7.835965358431999 
81.63265306122449 -425.0 -10.926902048444214 81.63265306122449 92.99999999999999 -7.835965358431999 
91.83673469387755 -425.0 -10.926902048444214 91.83673469387755 92.99999999999999 -7.835965358431999 
102.0408163265306 -425.0 -10.926902048444214 102.0408163265306 93.0 -7.835965358431995 
112.24489795918367 -425.0 -10.926902048444214 112.24489795918367 92.99999999999999 -7.835965358431999 
122.44897959183673 -425.0 -10.926902048444214 122.44897959183673 93.0 -7.835965358431995 
132.6530612244898 -425.0 -10.926902048444214 132.6530612244898 92.99999999999999 -7.835965358431999 
142.85714285714286 -425.0 -10.926902048444214 142.85714285714286 93.0 -7.835965358431995 
153.0612244897959 -425.0 -10.926902048444214 153.0612244897959 92.99999999999999 -7.835965358431999 
163.26530612244898 -425.0 -10.926902048444214 163.26530612244898 92.99999999999999 -7.835965358431999 
173.46938775510205 -425.0 -10.926902048444214 173.46938775510205 92.99999999999997 -7.835965358431995 
183.6734693877551 -425.0 -10.926902048444214 183.6734693877551 92.99999999999999 -7.835965358431999 
193.87755102040816 -425.0 -10.926902048444214 193.87755102040816 92.99999999999997 -7.835965358431995 
204.0816326530612 -425.0 -10.926902048444214 204.0816326530612 92.99999999999997 -7.835965358431995 
214.28571428571428 -425.0 -10.926902048444214 214.28571428571428 92.99999999999997 -7.835965358431995 
224.48979591836735 -425.0 -10.926902048444214 224.48979591836735 92.99999999999994 -7.835965358431994 
234.6938775510204 -425.0 -10.926902048444214 234.6938775510204 92.99999999999993 -7.835965358431996 
