mu Delta Omega mu0 Delta0 Omega0
0.0 -1000.0 -194.84311563789268 0.0 300.00000289054145 -4.376365358431994 
10.204081632653061 -1000.0 -194.84311563789268 10.204081632653061 300.00000289054145 -4.376365358431994 
20.408163265306122 -1000.0 -194.84311563789268 20.408163265306122 300.00000289054145 -4.376365358431994 
30.612244897959183 -1000.0 -194.84311563789268 30.612244897959183 300.00000289054145 -4.376365358431994 
40.816326530612244 -1000.0 -194.84311563789268 40.816326530612244 300.00000289054145 -4.376365358431994 
51.0204081632653 -1000.0 -194.84311563789268 51.0204081632653 300.00000289054145 -4.376365358431994 
61.224489795918366 -1000.0 -194.84311563789268 61.224489795918366 300.00000289054145 -4.376365358431994 
71.42857142857143 -1000.0 -194.84311563789268 71.42857142857143 300.00000289054145 -4.376365358431994 
81.63265306122449 -1000.0 -194.84311563789268 81.63265306122449 300.00000289054145 -4.376365358431994 
91.83673469387755 -1000.0 -194.84311563789268 91.83673469387755 300.00000289054145 -4.376365358431994 
102.0408163265306 -1000.0 -194.84311563789268 102.0408163265306 300.00000289054145 -4.376365358431994 
112.24489795918367 -1000.0 -194.84311563789268 112.24489795918367 300.00000289054145 -4.376365358431994 
122.44897959183673 -1000.0 -194.84311563789268 122.44897959183673 300.00000289054145 -4.376365358431994 
132.6530612244898 -1000.0 -194.84311563789268 132.6530612244898 300.00000289054145 -4.376365358431994 
142.85714285714286 -1000.0 -194.84311563789268 142.85714285714286 300.0000029744098 -4.376365358431994 
153.0612244897959 -1000.0 -194.84311563789268 153.0612244897959 299.99999574496195 -4.376365358431993 
163.26530612244898 -1000.0 -194.84311563789268 163.26530612244898 299.99999767911913 -4.376365358431992 
173.46938775510205 -1000.0 -194.84311563789268 173.46938775510205 299.9999999910957 -4.376365358431995 
183.6734693877551 -1000.0 -194.84311563789268 183.6734693877551 299.9999999910957 -4.376365358431995 
193.87755102040816 -1000.0 -194.84311563789268 193.87755102040816 299.9999999910957 -4.376365358431995 
204.0816326530612 -1000.0 -194.84311563789268 204.0816326530612 299.9999999910957 -4.376365358431995 
214.28571428571428 -1000.0 -194.84311563789268 214.28571428571428 299.9999999910957 -4.376365358431995 
224.48979591836735 -1000.0 -194.84311563789268 224.48979591836735 299.99999997451187 -4.376365358431994 
234.6938775510204 -1000.0 -194.84311563789268 234.6938775510204 299.99999994750755 -4.376365358431994 
244.89795918367346 -1000.0 -194.84311563789268 244.89795918367346 299.9999998647029 -4.376365358431995 
255.10204081632654 -1000.0 -194.84311563789268 255.10204081632654 299.999999717053 -4.376365358431992 
265.3061224489796 -1000.0 -194.84311563789268 265.3061224489796 299.9999995587912 -4.376365358431994 
275.51020408163265 -1000.0 -194.84311563789268 275.51020408163265 299.99999683050675 -4.376365358431993 
285.7142857142857 -1000.0 -194.84311563789268 285.7142857142857 300.00000007703204 -4.376365358431995 
295.9183673469388 -1000.0 -194.84311563789268 295.9183673469388 300.0000001815359 -4.376365358431995 
306.1224489795918 -1000.0 -194.84311563789268 306.1224489795918 78.72977473938666 -4.654065391635586 
316.3265306122449 -1000.0 -194.84311563789268 316.3265306122449 59.91344223383653 -5.232822023368054 
326.53061224489795 -1000.0 -194.84311563789268 326.53061224489795 48.63968392018578 -5.8908734002940175 
336.734693877551 -1000.0 -194.84311563789268 336.734693877551 40.90188467691176 -6.624874277174936 
346.9387755102041 -1000.0 -194.84311563789268 346.9387755102041 35.204734516027116 -7.435804982922778 
357.1428571428571 -1000.0 -194.84311563789268 357.1428571428571 30.817420127705397 -8.326335104504091 
367.3469387755102 -1000.0 -194.84311563789268 367.3469387755102 27.32924134373581 -9.299987040757154 
377.55102040816325 -1000.0 -194.84311563789268 377.55102040816325 24.48813875074452 -10.360793908358856 
