Deltax Deltay Omega
-600.0 429 20.209618254299208 
-595.9866220735786 429 19.75448700770043 
-591.9732441471572 429 19.29651687000516 
-587.9598662207358 429 18.83613191268912 
-583.9464882943143 429 18.373747038069304 
-579.9331103678929 429 17.909768022333903 
-575.9197324414715 429 17.444591558867312 
-571.9063545150502 429 16.97860530187366 
-567.8929765886288 429 16.51218791030323 
-563.8795986622074 429 16.04570909208661 
-559.866220735786 429 15.57952964867964 
-555.8528428093646 429 15.114001519924914 
-551.8394648829432 429 14.649467829233133 
-547.8260869565217 429 14.186262929090217 
-543.8127090301003 429 13.724712446893548 
-539.7993311036789 429 13.26513333112326 
-535.7859531772575 429 12.80783389785266 
-531.7725752508361 429 12.353113877603601 
-527.7591973244147 429 11.901264462551152 
-523.7458193979933 429 11.452568354083395 
-519.7324414715719 429 11.007299810721603 
-515.7190635451504 429 10.565724696406066 
-511.7056856187291 429 10.128100529153514 
-507.6923076923077 429 9.694676530091627 
-503.6789297658863 429 9.265693672876735 
-499.6655518394649 429 8.841384733500648 
-495.6521739130435 429 8.42197434049272 
-491.6387959866221 429 8.007679025523657 
-487.6254180602007 429 7.598707274417399 
-483.61204013377926 429 7.1952595785776525 
-479.59866220735785 429 6.7975284868362 
-475.58528428093643 429 6.4056986577295065 
-471.571906354515 429 6.019946912211161 
-467.5585284280936 429 5.640442286807142 
-463.54515050167225 429 5.267346087221771 
-459.53177257525084 429 4.900811942401649 
-455.5183946488294 429 4.540985859065902 
-451.505016722408 429 4.1880062767104675 
-447.49163879598666 429 3.8420041230949993 
-443.47826086956525 429 3.503102870220791 
-439.46488294314383 429 3.1714185908085923 
-435.4515050167224 429 2.847060015285163 
-431.438127090301 429 2.530128589288044 
-427.4247491638796 429 2.220718531697853 
-423.4113712374582 429 1.918916893208015 
-419.39799331103677 429 1.6248036154418086 
-415.38461538461536 429 1.3384515906272962 
-411.37123745819395 429 1.0599267218405208 
-407.3578595317726 429 0.7892879838280797 
-403.3444816053512 429 0.5265874844201966 
-399.33110367892976 429 0.27187052654598515 
-395.31772575250835 429 0.025175670862731914 
-391.304347826087 429 -0.213465200988437 
-387.2909698996656 429 -0.4440268224879299 
-383.27759197324417 429 -0.6664904776909953 
-379.26421404682276 429 -0.8808439360155457 
-375.25083612040135 429 -1.0870813863506095 
-371.23745819397993 429 -1.2852033704711825 
-367.2240802675585 429 -1.4752167157445664 
-363.2107023411371 429 -1.6571344671131458 
-359.1973244147157 429 -1.8309758183377 
-355.1839464882943 429 -1.9967660424851341 
-351.17056856187287 429 -2.154536421643703 
-347.1571906354515 429 -2.3043241758485107 
-343.1438127090301 429 -2.4461723911992026 
-339.1304347826087 429 -2.580129947151356 
-335.1170568561873 429 -2.7062514429623294 
-331.10367892976586 429 -2.824597123271657 
-327.0903010033445 429 -2.9352328027954004 
-323.0769230769231 429 -3.038229790113108 
-319.0635451505017 429 -3.1336648105251945 
-315.05016722408027 429 -3.221619927957855 
-311.03678929765886 429 -3.3021824658916556 
-307.02341137123744 429 -3.3754449272890903 
-303.01003344481603 429 -3.4415049134954128 
-298.9966555183947 429 -3.500465042086098 
-294.98327759197326 429 -3.5524328636332094 
-290.96989966555185 429 -3.597520777361774 
-286.95652173913044 429 -3.6358459456662673 
-282.943143812709 429 -3.6675302074558482 
-278.9297658862876 429 -3.6926999902959294 
-274.9163879598662 429 -3.711486221312027 
-270.90301003344484 429 -3.7240242368206644 
-266.88963210702343 429 -3.7304536906502985 
-262.876254180602 429 -3.7309184611138084 
-258.8628762541806 429 -3.7255665565922658 
-254.8494983277592 429 -3.7145500196878474 
-250.83612040133778 429 -3.698024829901929 
-246.82274247491637 429 -3.676150804792205 
-242.809364548495 429 -3.649091499560526 
-238.7959866220736 429 -3.617014105020866 
-234.7826086956522 429 -3.58008934389424 
-230.76923076923077 429 -3.5384913653748242 
-226.75585284280936 429 -3.4923976379086206 
-222.74247491638795 429 -3.4419888401230394 
-218.72909698996654 429 -3.3874487498424535 
-214.71571906354518 429 -3.328964131121402 
-210.70234113712377 429 -3.2667246192232593 
-206.68896321070235 429 -3.200922603468285 
-202.67558528428094 429 -3.1317531078706202 
-198.66220735785953 429 -3.0594136694791296 
-194.64882943143812 429 -2.984104214332013 
-190.6354515050167 429 -2.9060269309296887 
-186.6220735785953 429 -2.825386141124613 
-182.60869565217394 429 -2.742388168320326 
-178.59531772575252 429 -2.657241202865185 
-174.5819397993311 429 -2.570155164518734 
-170.5685618729097 429 -2.481341561860507 
-166.55518394648828 429 -2.391013348502246 
-162.54180602006687 429 -2.299384775954696 
-158.52842809364546 429 -2.206671242989613 
-154.5150501672241 429 -2.113089141325859 
-150.5016722408027 429 -2.0188556974556637 
-146.48829431438128 429 -1.924188810412967 
-142.47491638795987 429 -1.829306885270051 
-138.46153846153845 429 -1.7344286621313856 
-134.44816053511704 429 -1.6397730403742905 
-130.43478260869563 429 -1.5455588978645125 
-126.42140468227427 429 -1.452004904850847 
-122.40802675585286 429 -1.3593293322159261 
-118.39464882943145 429 -1.2677498537300527 
-114.38127090301003 429 -1.1774833419206494 
-110.36789297658862 429 -1.0887456571311616 
-106.35451505016721 429 -1.0017514292990124 
-102.3411371237458 429 -0.9167138319317686 
-98.32775919732444 429 -0.8338443477026158 
-94.31438127090303 429 -0.7533525250193436 
-90.30100334448161 429 -0.6754457248433248 
-86.2876254180602 429 -0.6003288569442734 
-82.27424749163879 429 -0.5282041046700718 
-78.26086956521738 429 -0.45927063718498284 
-74.24749163879596 429 -0.39372430797951175 
-70.23411371237455 429 -0.3317573382749625 
-66.22073578595314 429 -0.273557983727383 
-62.207357859531726 429 -0.21931018256843068 
-58.19397993311031 429 -0.1691931829902541 
-54.180602006689014 429 -0.12338114716782873 
-50.1672240802676 429 -0.08204272878729447 
-46.15384615384619 429 -0.0453406202725885 
-42.140468227424776 429 -0.013431065015967103 
-38.12709030100336 429 0.013536671267939617 
-34.11371237458195 429 0.03542087756871068 
-30.100334448160538 429 0.05208803277663074 
-26.086956521739125 429 0.063413512161673 
-22.073578595317713 429 0.06928238327880257 
-18.0602006688963 429 0.06959031745333816 
-14.046822742474887 429 0.06424465660952414 
-10.033444816053475 429 0.05316570046028851 
-6.020066889632062 429 0.03628833235461205 
-2.0066889632106495 429 0.013564241140517302 
2.0066889632106495 429 -0.015034381661721644 
6.020066889632062 429 -0.04950753605210641 
10.033444816053475 429 -0.08982741355090942 
14.046822742474887 429 -0.13594570300615333 
18.0602006688963 429 -0.18779728776681878 
22.073578595317713 429 -0.24530246754583393 
26.086956521739125 429 -0.30836858426744296 
30.100334448160538 429 -0.3768913092569648 
34.11371237458195 429 -0.45075571006936427 
38.12709030100336 429 -0.5298371619746148 
42.140468227424776 429 -0.6140021438630011 
46.15384615384619 429 -0.703108944724102 
50.1672240802676 429 -0.7970082988432874 
54.180602006689014 429 -0.8955439628283013 
58.19397993311031 429 -0.9985532442552045 
62.207357859531726 429 -1.1058674894378606 
66.22073578595314 429 -1.2173125362012924 
70.23411371237455 429 -1.3327091363533514 
74.24749163879596 429 -1.4518733516623803 
78.26086956521738 429 -1.5746169264723306 
82.27424749163879 429 -1.7007476395618992 
86.2876254180602 429 -1.83006963744058 
90.30100334448161 429 -1.9623837509441109 
94.31438127090303 429 -2.0974877967246095 
98.32775919732444 429 -2.2351768650123613 
102.34113712374585 429 -2.3752435948459953 
106.35451505016727 429 -2.517478437817718 
110.36789297658868 429 -2.6616699112543465 
114.38127090300998 429 -2.80760484164831 
118.39464882943139 429 -2.9550685990621925 
122.4080267558528 429 -3.103845323152546 
126.42140468227421 429 -3.253718141391946 
130.43478260869563 429 -3.4044693800100925 
134.44816053511704 429 -3.55588076812435 
138.46153846153845 429 -3.7077336354859245 
142.47491638795987 429 -3.859809104229069 
146.48829431438128 429 -4.0118882749764655 
150.5016722408027 429 -4.163752407623641 
154.5150501672241 429 -4.315183097098316 
158.52842809364552 429 -4.465962444366551 
162.54180602006693 429 -4.615873222936114 
166.55518394648834 429 -4.764699041088141 
170.56856187290964 429 -4.912224500050879 
174.58193979933105 429 -5.058235348313586 
178.59531772575247 429 -5.202518632264517 
182.60869565217388 429 -5.344862843324137 
186.6220735785953 429 -5.485058061732904 
190.6354515050167 429 -5.62289609714246 
194.64882943143812 429 -5.758170626149264 
198.66220735785953 429 -5.890677326900859 
202.67558528428094 429 -6.020214010896829 
206.68896321070235 429 -6.1465807520989735 
210.70234113712377 429 -6.269580013458428 
214.71571906354518 429 -6.38901677096105 
218.7290969899666 429 -6.504698635286581 
222.742474916388 429 -6.616435971171645 
226.75585284280942 429 -6.72404201456171 
230.76923076923072 429 -6.827332987632387 
234.78260869565213 429 -6.926128211756283 
238.79598662207354 429 -7.020250218487387 
242.80936454849495 429 -7.109524858631528 
246.82274247491637 429 -7.193781409467688 
