nB nB1 nB2 muB muB1 muB2 P P1 epsilon epsilon1 epsilon2
0.0 7.92405959867008e-15 1.6947405040776474e-10 0.0 891.979088912515 2.393892194487332e-05 -2666.563051159566 1.8864781909828667e-22 0.0 7.068095280606396e-15 0.0 
7.92405959867008e-15 2.50580766467172e-14 0.006560405218043377 891.979088912515 891.9791501399843 926.6848114127833 1.8864781909828667e-22 1.202875101238043e-21 7.068095280606396e-15 2.235128075925966e-14 0.006099211432668069 
2.50580766467172e-14 7.92405959867008e-14 0.006560405218043377 891.9791501399843 891.9792735967919 926.6848114127833 1.202875101238043e-21 7.669892586590564e-21 2.235128075925966e-14 7.068096190068274e-14 0.006099211432668069 
7.92405959867008e-14 2.50580766467172e-13 0.006560405218043378 891.9792735967919 891.9795225305563 926.6848114127833 7.669892586590564e-21 4.89055366008406e-20 7.068096190068274e-14 2.2351286558261665e-13 0.00609921143266807 
2.50580766467172e-13 7.92405959867008e-13 0.00656040521804338 891.9795225305563 891.9800244714106 926.6848114127833 4.89055366008406e-20 3.1183637622223165e-19 2.2351286558261665e-13 7.068099887685966e-13 0.006099211432668072 
7.92405959867008e-13 2.50580766467172e-12 0.006560405218043398 891.9800244714106 891.9810365664441 926.6848114127833 3.1183637622223165e-19 1.9883623060735802e-18 7.068099887685966e-13 2.235131013538147e-12 0.006099211432668087 
2.50580766467172e-12 7.92405959867008e-12 0.006560405218043508 891.9810365664441 891.9830773175474 926.6848114127838 1.9883623060735802e-18 1.2678394702087938e-17 2.235131013538147e-12 7.068114921165044e-12 0.0060992114326681906 
7.92405959867008e-12 2.50580766467172e-11 0.006560405218044209 891.9830773175474 891.9871922128202 926.6848114127852 1.2678394702087938e-17 8.084124896701922e-17 7.068114921165044e-12 2.2351405993355074e-11 0.006099211432668842 
2.50580766467172e-11 7.92405959867008e-11 0.0065604052180486755 891.9871922128202 891.9954893359115 926.6848114127943 8.084124896701922e-17 5.154680610685972e-16 2.2351405993355074e-11 7.068176043085378e-11 0.006099211432672995 
7.92405959867008e-11 2.50580766467172e-10 0.006560405218077166 891.9954893359115 892.0122193489516 926.6848114128525 5.154680610685972e-16 3.286779031459769e-15 7.068176043085378e-11 2.235179572505954e-10 0.006099211432699479 
2.50580766467172e-10 6.29410234040288e-10 0.006560405218258826 892.0122193489516 892.0371937918279 926.6848114132238 3.286779031459769e-15 1.446781958777772e-14 2.235179572505954e-10 5.614434803410538e-10 0.006099211432868345 
6.29410234040288e-10 1.58104849886544e-09 0.006560405218991746 892.0371937918279 892.0786055088946 926.6848114147218 1.446781958777772e-14 6.088592755770992e-14 5.614434803410538e-10 1.4103612181038253e-09 0.00609921143354965 
1.58104849886544e-09 3.97146890586824e-09 0.0065604052220344595 892.0786055088946 892.1439095007744 926.6848114209411 6.088592755770992e-14 2.441054461078457e-13 1.4103612181038253e-09 3.5428879700370645e-09 0.0060992114363780875 
3.97146890586824e-09 4.99938025672213e-09 0.006560405234044532 892.1439095007744 892.1619336289149 926.6848114454895 2.441054461078457e-13 3.282409974638611e-13 3.5428879700370645e-09 4.459942338096108e-09 0.0060992114475423714 
4.99938025672213e-09 9.97366035816307e-09 0.006560405239559632 892.1619336289149 892.2360683739453 926.6848114567622 3.282409974638611e-13 8.956566483374039e-13 4.459942338096108e-09 8.898001564940638e-09 0.00609921145266908 
9.97366035816307e-09 1.99038194110668e-08 0.0065604052767538265 892.2360683739453 892.3341904655585 926.6848115327861 8.956566483374039e-13 2.3923706850712675e-12 8.898001564940638e-09 1.7758566953987143e-08 0.006099211487243943 
1.99038194110668e-08 3.97209640718649e-08 0.006560405374863691 892.3341904655585 892.4619942545893 926.6848117333201 2.3923706850712675e-12 6.278958802978594e-12 1.7758566953987143e-08 3.544343625900713e-08 0.006099211578444602 
3.97209640718649e-08 7.92418564452663e-08 0.006560405629630219 892.4619942545893 892.626497749921 926.6848122540564 6.278958802978594e-12 1.6252891374708013e-11 3.544343625900713e-08 7.071781231586815e-08 0.006099211815269668 
7.92418564452663e-08 1.58101406297455e-07 0.006560406283423235 892.626497749921 892.8367217689721 926.6848135903927 1.6252891374708013e-11 4.166831905435893e-11 7.071781231586815e-08 1.411188276499206e-07 0.0060992124230205185 
1.58101406297455e-07 1.99033206564924e-07 0.006560407949408942 892.8367217689721 892.9060133422579 926.6848169956252 4.166831905435893e-11 5.45383121475417e-11 1.411188276499206e-07 1.7766570530636955e-07 0.006099213971682259 
1.99033206564924e-07 3.15499695463202e-07 0.006560408793039229 892.9060133422579 893.0835070074749 926.6848187199839 5.45383121475417e-11 1.0167419373809274e-10 1.7766570530636955e-07 2.816701818159441e-07 0.006099214755901441 
3.15499695463202e-07 4.99934080568851e-07 0.0065604118828044705 893.0835070074749 893.2911419686574 926.6848250353854 1.0167419373809274e-10 1.890553301612541e-10 2.816701818159441e-07 4.464055915772666e-07 0.006099217628075673 
4.99934080568851e-07 6.29458589212406e-07 0.006560417610653169 893.2911419686574 893.4079403047351 926.6848367429623 1.890553301612541e-10 2.5771193735088087e-10 4.464055915772666e-07 5.621164420718817e-07 0.006099222952551207 
6.29458589212406e-07 7.29727457487442e-07 0.006560422111105718 893.4079403047351 893.4878283606886 926.6848459417729 2.5771193735088087e-10 3.143224307336004e-10 5.621164420718817e-07 6.517015150507126e-07 0.0060992271360676975 
