nB nB1 nB2 muB muB1 muB2 P P1 epsilon epsilon1 epsilon2
0.0 7.92405959867008e-15 1.6629369214002132e-10 0.0 891.979088912515 2.394784970758517e-05 -2666.563051159566 1.8864781909828667e-22 0.0 7.068095280606396e-15 0.0 
7.92405959867008e-15 2.50580766467172e-14 0.006437292334833526 891.979088912515 891.9791501399843 927.0304085171152 1.8864781909828667e-22 1.202875101238043e-21 7.068095280606396e-15 2.235128075925966e-14 0.0059867056247984414 
2.50580766467172e-14 7.92405959867008e-14 0.006437292334833526 891.9791501399843 891.9792735967919 927.0304085171152 1.202875101238043e-21 7.669892586590564e-21 2.235128075925966e-14 7.068096190068274e-14 0.0059867056247984414 
7.92405959867008e-14 2.50580766467172e-13 0.006437292334833526 891.9792735967919 891.9795225305563 927.0304085171152 7.669892586590564e-21 4.89055366008406e-20 7.068096190068274e-14 2.2351286558261665e-13 0.005986705624798442 
2.50580766467172e-13 7.92405959867008e-13 0.00643729233483353 891.9795225305563 891.9800244714106 927.0304085171152 4.89055366008406e-20 3.1183637622223165e-19 2.2351286558261665e-13 7.068099887685966e-13 0.005986705624798445 
7.92405959867008e-13 2.50580766467172e-12 0.006437292334833546 891.9800244714106 891.9810365664441 927.0304085171152 3.1183637622223165e-19 1.9883623060735802e-18 7.068099887685966e-13 2.235131013538147e-12 0.005986705624798461 
2.50580766467172e-12 7.92405959867008e-12 0.006437292334833654 891.9810365664441 891.9830773175474 927.0304085171156 1.9883623060735802e-18 1.2678394702087938e-17 2.235131013538147e-12 7.068114921165044e-12 0.005986705624798561 
7.92405959867008e-12 2.50580766467172e-11 0.006437292334834339 891.9830773175474 891.9871922128202 927.0304085171169 1.2678394702087938e-17 8.084124896701922e-17 7.068114921165044e-12 2.2351405993355074e-11 0.005986705624799199 
2.50580766467172e-11 7.92405959867008e-11 0.0064372923348387096 891.9871922128202 891.9954893359115 927.0304085171265 8.084124896701922e-17 5.154680610685972e-16 2.2351405993355074e-11 7.068176043085378e-11 0.005986705624803261 
7.92405959867008e-11 2.50580766467172e-10 0.006437292334866583 891.9954893359115 892.0122193489516 927.0304085171874 5.154680610685972e-16 3.286779031459769e-15 7.068176043085378e-11 2.235179572505954e-10 0.005986705624829172 
2.50580766467172e-10 6.29410234040288e-10 0.006437292335044306 892.0122193489516 892.0371937918279 927.030408517575 3.286779031459769e-15 1.446781958777772e-14 2.235179572505954e-10 5.614434803410538e-10 0.005986705624994385 
