mu md ms muu mud mus mue nu nd ns ne epsilon P epsilonorg Porg
5.0 7.0 0.0 0.0 0.0 0.0 0.0 -3.015655547955019e-22 -8.274958823588571e-22 0.0 -1.0052185159850071e-25 0.0 0.0 0.0 0.0 
5.0 7.0 0.0 4.74999999967154 5.250000000328459 0.0 0.5000000006569194 -9.180971912288143e-24 -2.3945997196659677e-22 0.0 7.370831698423799e-23 -1.2639203100160807e-24 -9.270190695768384e-34 -1.2639203100160807e-24 -9.270190695768384e-34 
5.0 7.0 0.0 5.965028868190066 8.028965125803929 0.0 2.063936257613863 4.5205860178554825e-07 7.986641842738863e-07 0.0 3.5151006433083026e-08 8.677752375409296e-09 5.037865537876724e-10 8.677752375409296e-09 5.037865537876724e-10 
5.0 7.0 0.0 7.780046078711013 10.207941909276975 0.0 2.4278958305659626 2.7812897263305857e-06 5.3864514587512495e-06 0.0 5.870933130494299e-08 6.754937054737063e-08 9.216315410490446e-09 6.754937054737063e-08 9.216315410490446e-09 
5.0 7.0 0.0 9.583420162119522 12.398561819862458 0.0 2.8151416577429367 7.177004184625159e-06 1.4074760993119414e-05 0.0 9.308245870776945e-08 2.0515347428972234e-07 3.839560689692376e-08 2.0515347428972234e-07 3.839560689692376e-08 
5.0 7.0 0.0 11.377319726397674 14.598656249578303 0.0 3.221336523180629 1.4018164056637424e-05 2.7613083534355158e-05 0.0 1.4108152630555167e-07 4.6110156159873235e-07 1.0195595843310337e-07 4.6110156159873235e-07 1.0195595843310337e-07 
5.0 7.0 0.0 13.165112385363827 16.804857584606143 0.0 3.639745199242317 2.3723021062996206e-05 4.683062208484411e-05 0.0 2.0514001371323074e-07 8.837377948476254e-07 2.1630703568147472e-07 8.837377948476254e-07 2.1630703568147472e-07 
5.0 7.0 0.0 14.94884026986435 19.015123694099614 0.0 4.066283424235262 3.672017796828518e-05 7.257730249372521e-05 0.0 2.876844809508168e-07 1.5296793825154178e-06 4.0048088355203924e-07 1.5296793825154178e-06 4.0048088355203924e-07 
5.0 7.0 0.0 16.72974606441981 21.228211893538145 0.0 4.498465829118336 5.3442221493533314e-05 0.0001057109924579048 0.0 3.9115017639557467e-07 2.4637171503016034e-06 6.761725674788722e-07 2.4637171503016034e-06 6.761725674788722e-07 
5.0 7.0 0.0 18.508618431169968 23.443333520781984 0.0 4.934715089612018 7.432358898970381e-05 0.00014709324112020756 0.0 5.179789530685088e-07 3.758781473401643e-06 1.067757464433528e-06 3.758781473401643e-06 1.067757464433528e-06 
5.0 7.0 0.0 20.285979250177594 25.659966695768347 0.0 5.373987445590755 9.979968602555955e-05 0.0001975875213864684 0.0 6.706168882058487e-07 5.49592762999525e-06 1.6022998349077048e-06 5.49592762999525e-06 1.6022998349077048e-06 
5.0 7.0 0.0 22.062186740361113 27.877753199578827 0.0 5.815566459217713 0.00013030646902492752 0.00025805839983707705 0.0 8.515127376077209e-07 7.764328542624933e-06 2.3095575211327955e-06 7.764328542624933e-06 2.3095575211327955e-06 
5.0 7.0 0.0 23.83749461283375 30.096439321100185 0.0 6.258944708266434 0.00016628022820042913 0.00032937110542410685 0.0 1.0631169922622692e-06 1.0661270807145668e-05 3.2219847157961423e-06 1.0661270807145668e-05 3.2219847157961423e-06 
5.0 7.0 0.0 25.612087447627317 32.31584048030061 0.0 6.703753032673287 0.00020815746627582589 0.0004123912886567088 0.0 1.3078812983098295e-06 1.4292152355249173e-05 4.374733686799541e-06 1.4292152355249173e-05 4.374733686799541e-06 
5.0 7.0 0.0 27.386102670505647 34.53581925141627 0.0 7.149716580910626 0.0002563748267974403 0.0005079848793193067 0.0 1.588258091878056e-06 1.877048099844386e-05 5.805655900202293e-06 1.877048099844386e-05 5.805655900202293e-06 
5.0 7.0 0.0 29.15964467300304 36.756271242912874 0.0 7.596626569909837 0.0003113690497749887 0.0006170179984612169 0.0 1.9067003629378014e-06 2.421787347919808e-05 7.55530277824883e-06 2.421787347919808e-05 7.55530277824883e-06 
5.0 7.0 0.0 30.932794157492058 38.97711575241785 0.0 8.044321594925796 0.00037357694317032215 0.0007403569018449592 0.0 2.2656614985606897e-06 3.0764054829334844e-05 9.666926226769948e-06 3.0764054829334844e-05 9.666926226769948e-06 
5.0 7.0 0.0 32.705614485857886 41.19828941804602 0.0 8.492674932188137 0.00044343536397439603 0.0008788679424198191 0.0 2.667595176307496e-06 3.854685792260356e-05 1.2186479011676476e-05 3.854685792260356e-05 1.2186479011676476e-05 
5.0 7.0 0.0 34.47815609353273 43.41974180436515 0.0 8.941585710832422 0.00052138120529686 0.0010334175447233405 0.0 3.1149552900968536e-06 4.771222315440993e-05 1.5162615033749691e-05 4.771222315440993e-05 1.5162615033749691e-05 
5.0 7.0 0.0 36.25045962231349 45.641432269578395 0.0 9.390972647264904 0.000607851387344273 0.0012048721869957902 0.0 3.6101958976183955e-06 5.841419820736615e-05 1.8646689533117623e-05 5.841419820736615e-05 1.8646689533117623e-05 
