sigma mu omega
-200.0 250 358.370169809829 
-195.95959595959596 250 320.4470149395395 
-191.91919191919192 250 285.07273042528067 
-187.87878787878788 250 252.14843312427902 
-183.83838383838383 250 221.57660386901983 
-179.7979797979798 250 193.2611024391662 
-175.75757575757575 250 167.10718285908223 
-171.7171717171717 250 143.02150903543875 
-167.67676767676767 250 120.91217075037046 
-163.63636363636363 250 100.6887000267338 
-159.59595959595958 250 82.26208788319532 
-155.55555555555554 250 65.54480149818058 
-151.5151515151515 250 50.45080180314438 
-147.47474747474746 250 36.89556152719304 
-143.43434343434342 250 24.796083716837295 
-139.39393939393938 250 14.070920756579657 
-135.35353535353534 250 4.640193918187084 
-131.3131313131313 250 -3.5743865311104073 
-127.27272727272727 250 -10.649500628582699 
-123.23232323232322 250 -16.66019738821489 
-119.19191919191918 250 -21.679872805893947 
-115.15151515151514 250 -25.780247154478914 
-111.1111111111111 250 -29.031341521348878 
-107.07070707070706 250 -31.501453536111068 
-103.03030303030303 250 -33.25713223053351 
-98.98989898989899 250 -34.36315196631621 
-94.94949494949495 250 -34.8824853588678 
-90.9090909090909 250 -34.876275116612554 
-86.86868686868686 250 -34.403804705266566 
-82.82828282828282 250 -33.52246773467331 
-78.78787878787878 250 -32.28773595177909 
-74.74747474747474 250 -30.754500266931238 
-70.7070707070707 250 -28.982643942236198 
-66.66666666666666 250 -27.02631935103053 
-62.626262626262616 250 -24.93439758084576 
-58.585858585858574 250 -22.752166266600113 
-54.54545454545453 250 -20.521796304925754 
-50.50505050505049 250 -18.28256570573518 
-46.46464646464645 250 -16.070985726793882 
-42.42424242424241 250 -13.920876299084988 
-38.383838383838366 250 -11.863410699691666 
-34.343434343434325 250 -9.927139262577917 
-30.303030303030283 250 -8.137997295272394 
-26.26262626262624 250 -6.519299921312748 
-22.2222222222222 250 -5.0917250426661695 
-18.18181818181816 250 -3.873284435671646 
-14.141414141414117 250 -2.8792817777796187 
-10.101010101010075 250 -2.1222546962157103 
-6.060606060606062 250 -1.6118947593614565 
-2.0202020202020208 250 -1.3549314487641555 
2.0202020202020208 250 -1.3549314487641555 
6.060606060606062 250 -1.6118947593614565 
10.101010101010104 250 -2.1222546962157143 
