sigma mu omega
93.0000000140668 0.0 -5.850349039810744 
93.0000000140668 10.169491525423728 -5.850349039810744 
93.0000000140668 20.338983050847457 -5.850349039810744 
93.0000000140668 30.508474576271183 -5.850349039810744 
93.0000000140668 40.67796610169491 -5.850349039810744 
93.0000000140668 50.847457627118644 -5.850349039810744 
93.0000000140668 61.01694915254237 -5.850349039810744 
93.0000000140668 71.1864406779661 -5.850349039810744 
93.0000000140668 81.35593220338983 -5.850349039810744 
93.0000000140668 91.52542372881355 -5.850349039810744 
93.0000000140668 101.69491525423729 -5.850349039810744 
93.0000000140668 111.86440677966101 -5.850349039810744 
93.0000000140668 122.03389830508473 -5.850349039810744 
93.0000000140668 132.20338983050846 -5.850349039810744 
93.0000000140668 142.3728813559322 -5.850349039810744 
93.0000000140668 152.54237288135593 -5.850349039810744 
93.0000000140668 162.71186440677965 -5.850349039810744 
93.0000000140668 172.88135593220338 -5.850349039810744 
93.0000000140668 183.0508474576271 -5.850349039810744 
93.0000000140668 193.22033898305085 -5.850349039810744 
93.00000001390504 203.38983050847457 -5.850349039810741 
93.0000000130025 213.5593220338983 -5.850349039810743 
93.00000000636372 223.72881355932202 -5.850349039810744 
92.9999999382824 233.89830508474574 -5.850349039810741 
92.9999999382824 244.06779661016947 -5.850349039810741 
92.99999989293072 254.23728813559322 -5.850349039810741 
nan nan nan 
14.498935633126566 264.4067796610169 -5.864707630422742 
11.703201507195004 274.5762711864407 -6.762637010624247 
9.804844509046434 284.7457627118644 -7.778710070463371 
8.413055915203797 294.91525423728814 -8.917565858244233 
7.343608240439115 305.08474576271186 -10.185867729848463 
6.4945887302671865 315.2542372881356 -11.59135595898809 
5.803935402612674 325.4237288135593 -13.142473880157333 
5.231265270959314 335.59322033898303 -14.848193931424989 
4.74901798077883 345.76271186440675 -16.717927557178694 
4.337672024647338 355.9322033898305 -18.76147481618271 
3.982961771278785 366.1016949152542 -20.98899449598125 
3.674240260362467 376.2711864406779 -23.410985543706083 
3.4033352643805674 386.4406779661017 -26.038275079481384 
3.1639129685075043 396.6101694915254 -28.88201040754464 
2.950992402794516 406.77966101694915 -31.953653544554573 
2.76054251562362 416.9491525423729 -35.264977382462746 
2.5893484690950976 427.1186440677966 -38.8280629414879 
2.4347333019139787 437.2881355932203 -42.6552973672616 
2.294514643845639 447.45762711864404 -46.75937244659214 
2.166871865040561 457.62711864406776 -51.153283491368754 
2.0502610906610137 467.7966101694915 -55.850328488148506 
1.9433810205131612 477.9661016949152 -60.86410744237901 
1.8451338180544288 488.13559322033893 -66.20852186713111 
1.754572011860338 498.3050847457627 -71.89777438051384 
1.670865792302121 508.47457627118644 -77.9463683857004 
1.5933317651625465 518.6440677966101 -84.36910781446407 
1.521334601274511 528.8135593220338 -91.18109691997566 
1.454343395676603 538.9830508474575 -98.39774010818255 
1.3918862003279766 549.1525423728814 -106.03474179962629 
1.333543877514006 559.3220338983051 -114.10810631550818 
1.2789587152033846 569.4915254237288 -122.63413778315638 
1.2277909291034386 579.6610169491526 -131.6294400571781 
1.179760003678886 589.8305084745763 -141.11091665331986 
1.1345997655352966 600.0 -151.09577069273357 
