sigma mu omega
-94.94949494949495 250 -34.8824853588678 
-94.94949494949495 275 -34.8824853588678 
-94.94949494949495 300 -34.8824853588678 
-90.9090909090909 325 -34.9225298661407 
-90.9090909090909 350 -35.0826471431307 
-90.9090909090909 375 -35.41248741440779 
-90.9090909090909 400 -35.96500326478811 
-90.9090909090909 425 -36.79402477979117 
-86.86868686868686 450 -38.029560778022955 
-86.86868686868686 475 -39.718821077994484 
-86.86868686868686 500 -41.870991062312484 
-82.82828282828282 525 -44.683670056526914 
-82.82828282828282 550 -48.121708622734175 
-78.78787878787878 575 -52.36069408892687 
-78.78787878787878 600 -57.39594163805112 
-74.74747474747474 625 -63.442346592426766 
-70.7070707070707 650 -70.49598146969046 
-66.66666666666666 675 -78.6785120576637 
-66.66666666666666 700 -88.110742868166 
-62.626262626262616 725 -98.91320419724218 
-58.585858585858574 750 -111.17224427934492 
-50.50505050505049 775 -125.0236393873544 
-46.46464646464645 800 -140.57174979242328 
-38.383838383838366 825 -157.92317087209082 
-34.343434343434325 850 -177.2304933978872 
-22.2222222222222 875 -198.60642437569226 
0.0 900 -222.1664285535096 
0.0 925 -247.89735105650044 
0.0 950 -275.8014515115847 
0.0 975 -305.997774878733 
0.0 1000 -338.6085406501793 
0.0 1025 -373.7591428504188 
0.0 1050 -411.5781500362108 
0.0 1075 -452.19730529657664 
