omega2 r U0 U1 U2 U3 U4 U5 U6 U7 U8 U9 U10 U11
-13.833694025874138 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.41678183525800705 9.999999999999999e-05 2.861326729462155e-09 2.0565514882835313e-11 5.6501973677937685e-12 3.785688433691071e-12 3.1680546622327107e-12 2.947781923925765e-12 2.9014824976587142e-12 2.963949265326476e-12 3.081485511324245e-12 3.2654168347507007e-12 3.507187630283651e-12 3.769431513465122e-12 
2.783960707485676 0.0011 3.80842587691413e-06 2.7372700309053814e-08 7.520412696533509e-09 5.038751305242817e-09 4.21668075543174e-09 3.923497740745194e-09 3.8618732043837506e-09 3.945016472149541e-09 4.1014572155725725e-09 4.346269807053184e-09 4.668066735907541e-09 5.01711334442208e-09 
6.3230719566345215 0.0021000000000000003 2.6498746841549036e-05 1.9045723332993796e-07 5.2326477823138126e-08 3.505926058441303e-08 2.9339354226937156e-08 2.7299408397476526e-08 2.6870629410817372e-08 2.7449134146188513e-08 2.8537637320373855e-08 3.024102530662626e-08 3.248006464405691e-08 3.4908705246200516e-08 
11.07995369285345 0.0031000000000000003 8.52417845974071e-05 6.126672538745471e-07 1.6832502978394426e-07 1.1277944412809073e-07 9.437951644257473e-08 8.78173712956725e-08 8.643806508775081e-08 8.829901256334109e-08 9.180053486786063e-08 9.728003292405817e-08 1.0448262669378029e-07 1.122951342176395e-07 
17.031874664127827 0.0041 0.00019720549952126126 1.4173958512398931e-06 3.8941725278571447e-07 2.6091343253842235e-07 2.1834549537574075e-07 2.0316407797888773e-07 1.9997307522113632e-07 2.0427834731556613e-07 2.123790629259784e-07 2.2505579366785312e-07 2.417188786667796e-07 2.597929893395298e-07 
24.160220257937908 0.0051 0.0003795578519898845 2.7280361147229887e-06 7.495043310352116e-07 5.021753564175544e-07 4.2024561899983156e-07 3.9102621999067684e-07 3.8488455479692633e-07 3.931708339948226e-07 4.087621345626727e-07 4.331608085465154e-07 4.652319463447568e-07 5.000188596926621e-07 
32.45102412998676 0.0061 0.0006591538941821253 4.735327651609797e-06 1.3008863344972652e-06 8.715026167718665e-07 7.292000971687479e-07 6.78362890387231e-07 6.675473594396829e-07 6.817281060285675e-07 7.085359969483454e-07 7.505591445998218e-07 8.058106795073514e-07 8.656869561211742e-07 
41.893864534795284 0.0071 0.0010543007707056 7.568408434895224e-06 2.0789314124401756e-06 1.392480676621698e-06 1.1648210167771672e-06 1.0832766297805156e-06 1.065607789497955e-06 1.087772288639158e-06 1.1299880777389683e-06 1.1963432416041176e-06 1.2836206701720268e-06 1.3780699720852913e-06 
52.48083970695734 0.0081 0.0015828533426743582 1.1352096985410745e-05 3.117772429551314e-06 2.0878187889756957e-06 1.7459327153024383e-06 1.6230737458522925e-06 1.5958541191934752e-06 1.6281611083537748e-06 1.6902995904754126e-06 1.788310930553074e-06 1.9172924057461074e-06 2.0566214098923246e-06 
64.20579741150141 0.0091 0.0022621538706686065 1.6206292493021554e-05 4.450134742672638e-06 2.979227245156378e-06 2.4904608782128394e-06 2.3141517527160386e-06 2.2740949774765766e-06 2.318651097338473e-06 2.4053888581141977e-06 2.542782784431389e-06 2.7237060582186967e-06 2.9187227859734764e-06 
77.06378889083862 0.010100000000000001 0.003108969810555339 2.2245369189195736e-05 6.107162819473283e-06 4.087294292108703e-06 3.4153218957443358e-06 3.171887729836814e-06 3.115039510402201e-06 3.1737637657000937e-06 3.289759225809764e-06 3.47442630986033e-06 3.717786223546378e-06 3.979444918858896e-06 
nan 0.011100000000000002 0.004139433108370868 2.9577589855794134e-05 8.118252569206088e-06 5.4313673579099085e-06 4.5363164064449435e-06 4.210531313746898e-06 4.132183058334275e-06 4.206658660570801e-06 4.35635577713407e-06 4.596091631117432e-06 4.912311852008388e-06 5.251329249424015e-06 
nan 0.012100000000000003 0.0053689823208689655 3.830454866203122e-05 1.0510892223461214e-05 7.029440527365673e-06 5.868028702091778e-06 5.443103944230513e-06 5.337700027014866e-06 5.4290151360468476e-06 5.616432892235076e-06 5.918661011526598e-06 6.317744126734715e-06 6.74419245883594e-06 
