omega2 nn r U0 U1 U2 U3 U4 U5 U6 U7 U8 U9 U10 U11 U12 U13 U14 U15 U16 U17 U18 U19 U20 U21 U22 U23 U24 U25 U26 U27 U28 U29 U30 U31 U32
-16 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0 1 9.999999999999999e-05 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 9.999999999999998e-13 
-8.0 1 0.0011 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 1.3310000000000003e-09 
-12.0 0 0.0021000000000000003 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 9.261000000000004e-09 
-10.0 0 0.0031000000000000003 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 2.979100000000001e-08 
-9.0 1 0.0041 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 6.892100000000001e-08 
-9.5 1 0.0051 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 1.3265100000000004e-07 
-9.75 1 0.0061 2.2698100000000004e-07 2.2698100000000004e-07 2.2698100000000004e-07 2.2698100000000004e-07 2.2698100000000004e-07 2.2698100000000004e-07 2.2698100000000004e-07 2.2698100000000004e-07 2.2698100000000004e-07 2.2698100000000004e-07 2.2698100000000004e-07 2.2698100000000004e-07 2.2698100000000004e-07 2.2698100000000004e-07 2.2698100000000004e-07 2.2698100000000004e-07 2.2698100000000004e-07 2.2698100000000004e-07 2.2698100000000004e-07 2.2698100000000004e-07 2.2698100000000004e-07 2.2698100000000004e-07 2.2698100000000004e-07 2.2698100000000004e-07 2.2698100000000004e-07 2.2698100000000004e-07 2.2698100000000004e-07 2.2698100000000004e-07 2.2698100000000004e-07 2.2698100000000004e-07 2.2698100000000004e-07 2.2698100000000004e-07 2.2698100000000004e-07 
-9.875 1 0.0071 3.6059156410017555e-07 3.602662874169583e-07 3.6042892575856694e-07 3.605102449293712e-07 3.604695853439691e-07 3.6044925555126797e-07 3.6045942044761853e-07 3.604645028957939e-07 3.604670441198815e-07 3.604683147319252e-07 3.6046895003794713e-07 3.6046926769095817e-07 3.6046942651746363e-07 3.604695059307163e-07 3.604695456373427e-07 3.604695257840295e-07 3.6046951585737303e-07 3.604695108940446e-07 3.604695084123805e-07 3.604695096532126e-07 3.604695102736286e-07 3.604695105838366e-07 3.6046951073894066e-07 3.6046951081649267e-07 3.604695107777166e-07 3.6046951079710466e-07 3.6046951078741064e-07 3.604695107922576e-07 3.6046951079468114e-07 3.6046951079346936e-07 3.604695107940752e-07 3.604695107937723e-07 3.6046951079362076e-07 
-9.9375 1 0.0081 5.397575888961525e-07 5.384943042062004e-07 5.391258335188063e-07 5.394416829493866e-07 5.392837511695733e-07 5.39204790578059e-07 5.392442704322835e-07 5.392640106905455e-07 5.392738809024637e-07 5.392788160291195e-07 5.392812835976216e-07 5.392825173831664e-07 5.392831342762621e-07 5.392834427228907e-07 5.392835969462252e-07 5.392835198345563e-07 5.392834812787235e-07 5.392834620008068e-07 5.392834523618487e-07 5.392834571813279e-07 5.392834595910673e-07 5.392834607959372e-07 5.392834613983721e-07 5.392834616995895e-07 5.392834615489806e-07 5.392834616242852e-07 5.392834615866329e-07 5.392834616054589e-07 5.392834616148721e-07 5.392834616101654e-07 5.392834616125186e-07 5.39283461611342e-07 5.392834616107536e-07 
